#gene	source(s)
ABCC6	https://dx.doi.org/10.1002/humu.22033
ABCD1	https://dx.doi.org/10.1002/humu.22033
ABHD17A	https://dx.doi.org/10.1002/humu.22033
ACAN	https://dx.doi.org/10.1002/humu.22033
ACKR4	https://dx.doi.org/10.1002/humu.22033
ACOT1	https://dx.doi.org/10.1002/humu.22033
ACOT2	https://dx.doi.org/10.1002/humu.22033
ACR	https://dx.doi.org/10.1002/humu.22033
ACRC	https://dx.doi.org/10.1002/humu.22033
ACSM2A	https://dx.doi.org/10.1002/humu.22033
ACSM2B	https://dx.doi.org/10.1002/humu.22033
ACTR3B	https://dx.doi.org/10.1002/humu.22033
ACTR3C	https://dx.doi.org/10.1002/humu.22033
ADAMTS7	https://dx.doi.org/10.1002/humu.22033
ADAMTSL2	https://dx.doi.org/10.1002/humu.22033
ADGRE2	https://dx.doi.org/10.1002/humu.22033
ADGRE5	https://dx.doi.org/10.1002/humu.22033
ADGRF5	https://dx.doi.org/10.1002/humu.22033
AGAP11	https://dx.doi.org/10.1002/humu.22033
AGAP4	https://dx.doi.org/10.1002/humu.22033
AGAP5	https://dx.doi.org/10.1002/humu.22033
AGAP6	https://dx.doi.org/10.1002/humu.22033
AGAP7P	https://dx.doi.org/10.1002/humu.22033
AGAP9	https://dx.doi.org/10.1002/humu.22033
AHCTF1	https://dx.doi.org/10.1002/humu.22033
AHRR	https://dx.doi.org/10.1002/humu.22033
AKR1B10	https://dx.doi.org/10.1002/humu.22033
AKR1B15	https://dx.doi.org/10.1002/humu.22033
AKR1C1	https://dx.doi.org/10.1002/humu.22033
AKR1C2	https://dx.doi.org/10.1002/humu.22033
AKR7A3	https://dx.doi.org/10.1002/humu.22033
ALG1	https://dx.doi.org/10.1002/humu.22033
ALG1L	https://dx.doi.org/10.1002/humu.22033
ALG1L2	https://dx.doi.org/10.1002/humu.22033
ALPP	https://dx.doi.org/10.1002/humu.22033
ALPPL2	https://dx.doi.org/10.1002/humu.22033
AMY1A	https://dx.doi.org/10.1002/humu.22033
AMY1B	https://dx.doi.org/10.1002/humu.22033
AMY1C	https://dx.doi.org/10.1002/humu.22033
AMY2A	https://dx.doi.org/10.1002/humu.22033
AMY2B	https://dx.doi.org/10.1002/humu.22033
ANAPC1	https://dx.doi.org/10.1002/humu.22033
ANKRD11	https://dx.doi.org/10.1002/humu.22033
ANKRD20A1	https://dx.doi.org/10.1002/humu.22033
ANKRD20A2	https://dx.doi.org/10.1002/humu.22033
ANKRD20A3	https://dx.doi.org/10.1002/humu.22033
ANKRD20A4	https://dx.doi.org/10.1002/humu.22033
ANKRD30A	https://dx.doi.org/10.1002/humu.22033
ANKRD30B	https://dx.doi.org/10.1002/humu.22033
ANKRD36	https://dx.doi.org/10.1002/humu.22033
ANKRD36B	https://dx.doi.org/10.1002/humu.22033
ANKRD62	https://dx.doi.org/10.1002/humu.22033
ANXA8	https://dx.doi.org/10.1002/humu.22033
ANXA8L1	https://dx.doi.org/10.1002/humu.22033
AOC3	https://dx.doi.org/10.1002/humu.22033
AP1B1	https://dx.doi.org/10.1002/humu.22033
APOBEC3A	https://dx.doi.org/10.1002/humu.22033
APOBEC3B	https://dx.doi.org/10.1002/humu.22033
AQP12A	https://dx.doi.org/10.1002/humu.22033
AQP12B	https://dx.doi.org/10.1002/humu.22033
AQP7	https://dx.doi.org/10.1002/humu.22033
AREG	https://dx.doi.org/10.1002/humu.22033
ARHGAP11A	https://dx.doi.org/10.1002/humu.22033
ARHGAP11B	https://dx.doi.org/10.1002/humu.22033
ARHGAP21	https://dx.doi.org/10.1002/humu.22033
ARHGAP23	https://dx.doi.org/10.1002/humu.22033
ARHGEF35	https://dx.doi.org/10.1002/humu.22033
ARHGEF5	https://dx.doi.org/10.1002/humu.22033
ARID3B	https://dx.doi.org/10.1002/humu.22033
ARL17A	https://dx.doi.org/10.1002/humu.22033
ARL17B	https://dx.doi.org/10.1002/humu.22033
ARL4A	https://dx.doi.org/10.1002/humu.22033
ARMC10	https://dx.doi.org/10.1002/humu.22033
ARMC4	https://dx.doi.org/10.1002/humu.22033
ARMCX6	https://dx.doi.org/10.1002/humu.22033
ASAH2	https://dx.doi.org/10.1002/humu.22033
ASAH2B	https://dx.doi.org/10.1002/humu.22033
ATAD3A	https://dx.doi.org/10.1002/humu.22033
ATAD3B	https://dx.doi.org/10.1002/humu.22033
ATAD3C	https://dx.doi.org/10.1002/humu.22033
BAGE2	https://dx.doi.org/10.1002/humu.22033
BAGE3	https://dx.doi.org/10.1002/humu.22033
BCAR1	https://dx.doi.org/10.1002/humu.22033
BCR	https://dx.doi.org/10.1002/humu.22033
BMP8A	https://dx.doi.org/10.1002/humu.22033
BMP8B	https://dx.doi.org/10.1002/humu.22033
BMS1	https://dx.doi.org/10.1002/humu.22033
BOLA2	https://dx.doi.org/10.1002/humu.22033
BOLA2B	https://dx.doi.org/10.1002/humu.22033
BOP1	https://dx.doi.org/10.1002/humu.22033
BPY2	https://dx.doi.org/10.1002/humu.22033
BPY2B	https://dx.doi.org/10.1002/humu.22033
BPY2C	https://dx.doi.org/10.1002/humu.22033
BRD9	https://dx.doi.org/10.1002/humu.22033
BTN3A1	https://dx.doi.org/10.1002/humu.22033
BTN3A2	https://dx.doi.org/10.1002/humu.22033
BTN3A3	https://dx.doi.org/10.1002/humu.22033
BTNL3	https://dx.doi.org/10.1002/humu.22033
BTNL8	https://dx.doi.org/10.1002/humu.22033
C1QTNF9	https://dx.doi.org/10.1002/humu.22033
C1QTNF9B	https://dx.doi.org/10.1002/humu.22033
C22ORF42	https://dx.doi.org/10.1002/humu.22033
C2ORF27A	https://dx.doi.org/10.1002/humu.22033
C2ORF27B	https://dx.doi.org/10.1002/humu.22033
C2ORF78	https://dx.doi.org/10.1002/humu.22033
C4A	https://dx.doi.org/10.1002/humu.22033
C4B	https://dx.doi.org/10.1002/humu.22033
C9ORF129	https://dx.doi.org/10.1002/humu.22033
CA5A	https://dx.doi.org/10.1002/humu.22033
CARD16	https://dx.doi.org/10.1002/humu.22033
CATSPER2	https://dx.doi.org/10.1002/humu.22033
CBWD1	https://dx.doi.org/10.1002/humu.22033
CBWD2	https://dx.doi.org/10.1002/humu.22033
CBWD3	https://dx.doi.org/10.1002/humu.22033
CBWD5	https://dx.doi.org/10.1002/humu.22033
CBWD6	https://dx.doi.org/10.1002/humu.22033
CCDC127	https://dx.doi.org/10.1002/humu.22033
