#PFAM_ID	DESCRIPTION
PF10417	C-terminal domain of 1-Cys peroxiredoxin
PF12574	120 KDa Rickettsia surface antigen
PF09847	Membrane protein of 12 TMs
PF00244	14-3-3 protein
PF16998	17 kDa outer membrane surface antigen
PF00389	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
PF02826	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain
PF00198	2-oxoacid dehydrogenases acyltransferase (catalytic domain)
PF16078	2-oxoglutarate dehydrogenase N-terminus
PF04029	2-phosphosulpholactate phosphatase
PF04463	2-thiouracil desulfurase
PF16620	Unstructured linker between I-set domains 2 and 3 on MYLCK
PF05635	23S rRNA-intervening sequence protein
PF08521	Two-component sensor kinase N-terminal
PF08793	2-cysteine adaptor domain
PF20150	2EXR family
PF11591	Ferredoxin chloroplastic transit peptide
PF01257	Thioredoxin-like [2Fe-2S] ferredoxin
PF08975	Domain of unknown function (DUF1868)
PF03390	2-hydroxycarboxylate transporter family
PF03171	2OG-Fe(II) oxygenase superfamily
PF13532	2OG-Fe(II) oxygenase superfamily
PF13640	2OG-Fe(II) oxygenase superfamily
PF13661	2OG-Fe(II) oxygenase superfamily
PF13759	Putative 2OG-Fe(II) oxygenase
PF10014	2OG-Fe dioxygenase
PF13239	2TM domain
PF13563	2'-5' RNA ligase superfamily
PF03475	3-alpha domain
PF06983	3-demethylubiquinone-9 3-methyltransferase
PF06052	3-hydroxyanthranilic acid dioxygenase
PF12578	Myotubularin-associated protein
PF17644	Core domain of 30K viral movement proteins
PF11330	C-Terminal of 30K viral movement proteins
PF00803	3A/RNA2 movement protein family
PF01073	3-beta hydroxysteroid dehydrogenase/isomerase family
PF06725	3D domain
PF02829	3H domain
PF10605	3HB-oligomer hydrolase (3HBOH) 
PF00725	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain
PF02737	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain
PF18321	3-hydroxybutyryl-CoA dehydrogenase reduced Rossmann-fold domain
PF16121	40S ribosomal protein S4 C-terminus
PF16122	40S ribosomal protein SA C-terminus
PF04419	4F5 protein related disordered region
PF17947	Four helical bundle domain
PF03061	Thioesterase superfamily
PF13279	Thioesterase-like superfamily
PF13622	Thioesterase-like superfamily
PF12729	Four helix bundle sensory module for signal transduction
PF04476	4-HFC-P synthase
PF18671	4-Hydroxyphenylacetate decarboxylase subunit gamma N-terminal
PF17837	4'-phosphopantetheinyl transferase N-terminal domain
PF05902	4.1 protein C-terminal domain (CTD)
PF01812	5-formyltetrahydrofolate cyclo-ligase family
PF06189	5'-nucleotidase
PF09038	Tumour suppressor p53-binding protein-1 Tudor
PF03491	Serotonin (5-HT) neurotransmitter transporter, N-terminus
PF07694	5TMR of 5TMR-LYT
PF01367	5'-3' exonuclease, C-terminal SAM fold
PF02739	5'-3' exonuclease, N-terminal resolvase-like domain
PF05761	5' nucleotidase family
PF02872	5'-nucleotidase, C-terminal domain
PF02096	60Kd inner membrane protein
PF01591	6-phosphofructo-2-kinase
PF00393	6-phosphogluconate dehydrogenase, C-terminal domain
PF02294	7kD DNA-binding domain
PF07698	7TM receptor with intracellular HD hydrolase
PF07696	7TMR-DISM extracellular 2
