#icd10_code	hpo_term	desc_de	desc_en	cgi_acronym
C17		Bösartige Neubildung des Dünndarmes	Malignant neoplasm of small intestine	SIN
C17.0		Duodenum	Duodenum	SIN
C17.1		Jejunum	Jejunum	SIN
C17.2		Ileum	Ileum	SIN
C17.3		Meckel-Divertikel	Meckel diverticulum	SIN
C17.8		Dünndarm, mehrere Teilbereiche überlappend	Overlapping lesion of small intestine	SIN
C17.9		Dünndarm, nicht näher bezeichnet	Small intestine, unspecified	SIN
C18		Bösartige Neubildung des Kolons	Malignant neoplasm of colon	COC
C18.4		Colon transversum	Transverse colon	COC
C18.7		Colon sigmoideum	Sigmoid colon	COC
C18.9		Bösartige Neubildung des Kolons, nicht näher bezeichnet	Malignant neoplasm of colon, unspecified	COREAD
C20		Bösartige Neubildung des Rektums	Malignant neoplasm of rectum	REC
C22		Bösartige Neubildung der Leber und der intrahepatischen Gallengänge	Malignant neoplasm of liver and intrahepatic bile ducts	H
C22.1		Intrahepatisches Gallengangskarzinom Inkl.: Cholangiokarzinom	Intrahepatic bile duct carcinoma Cholangiocarcinoma	CH
C25		Bösartige Neubildung des Pankreas	Malignant neoplasm of pancreas	PA
C25.9		Pankreas, nicht näher bezeichnet	Pancreas, unspecified	PA
C26.9		Ungenau bezeichnete Lokalisationen des Verdauungssystems	Ill-defined sites within the digestive system	DS
C40		Bösartige Neubildung des Knochens und des Gelenkknorpels der Extremitäten	Malignant neoplasm of bone and articular cartilage of limbs	S
C43	HP:0012060,HP:0012056,NA	Bösartiges Melanom der Haut	Malignant melanoma of skin	ALM,CM,SK
C43.2		Bösartiges Melanom des Ohres und des äußeren Gehörganges	Malignant melanoma of ear and external auricular canal	CM
C43.3		Bösartiges Melanom sonstiger und nicht näher bezeichneter Teile des Gesichtes	Malignant melanoma of other and unspecified parts of face	CM
C43.4		Bösartiges Melanom der behaarten Kopfhaut und des Halses	Malignant melanoma of scalp and neck	CM
C43.5		Bösartiges Melanom des Rumpfes	Malignant melanoma of trunk	CM
C43.6		Bösartiges Melanom der oberen Extremität, einschließlich Schulter	Malignant melanoma of upper limb, including shoulder	CM
C43.7		Bösartiges Melanom der unteren Extremität, einschließlich Hüfte	Malignant melanoma of lower limb, including hip	CM
C43.9		Bösartiges Melanom der Haut, nicht näher bezeichnet	Malignant melanoma of skin, unspecified	CM
C44		Sonstige bösartige Neubildungen der Haut	Other malignant neoplasms of skin	BCC
C44.6		Haut der oberen Extremität, einschließlich Schulter	Skin of upper limb, including shoulder	BCC
C44.9		Bösartige Neubildung der Haut, nicht näher bezeichnet	Malignant neoplasm of skin, unspecified	BCC
C49		Bösartige Neubildung sonstigen Bindegewebes und anderer Weichteilgewebe	Malignant neoplasm of other connective and soft tissue	S
C49.3		Bindegewebe und andere Weichteilgewebe des Thorax	Connective and soft tissue of thorax	S
C49.6		Bindegewebe und andere Weichteilgewebe des Rumpfes, nicht näher bezeichnet	Connective and soft tissue of trunk, unspecified	S
C50		Bösartige Neubildung der Brustdrüse [Mamma]	Malignant neoplasm of breast	BRCA
C51		Bösartige Neubildung der Vulva	Malignant neoplasm of vulva	SCC
C51.1		Labium minus	Labium minus	SCC
C53		Bösartige Neubildung der Cervix uteri	Malignant neoplasm of cervix uteri	CER
C53.9		Cervix uteri, nicht näher bezeichnet	Cervix uteri, unspecified	CER
C56		Bösartige Neubildung des Ovars	Malignant neoplasm of ovary	OV
C61		Bösartige Neubildung der Prostata	Malignant neoplasm of prostate	PRAD
C69		Bösartige Neubildung des Auges und der Augenanhangsgebilde	Malignant neoplasm of eye and adnexa	EY
C69.3		Chorioidea	Choroid	UVM
C69.9		Auge, nicht näher bezeichnet	Eye, unspecified	EY
C70		Bösartige Neubildung der Meningen	Malignant neoplasm of meninges	MEN
C70.0		Hirnhäute	Cerebral meninges	MEN
C70.1		Rückenmarkhäute	Spinal meninges	MEN
C70.9		Meningen, nicht näher bezeichnet	Meninges, unspecified	MEN
C71		Bösartige Neubildung des Gehirns	Malignant neoplasm of brain	CNS
C71.6		Zerebellum	Cerebellum	CNS
C71.8		Gehirn, mehrere Teilbereiche überlappend	Overlapping lesion of brain	G
C74		Bösartige Neubildung der Nebenniere	Malignant neoplasm of adrenal gland	AG
C74.9		Nebenniere, nicht näher bezeichnet	Adrenal gland, unspecified	AG
C91		Lymphatische Leukämie	Lymphoid leukaemia	LL
C91.0		Akute lymphatische Leukämie [ALL]	Acute lymphoblastic leukaemia [ALL]	ALL
D32		Gutartige Neubildung der Meningen	Benign neoplasm of meninges	MEN
D32.0		Hirnhäute	Benign neoplasm of cerebral meninges	MEN
D32.1		Rückenmarkhäute	Benign neoplasm of spinal meninges	MEN
D32.9		Meningen, nicht näher bezeichnet	Benign neoplasm of meninges, unspecified	MEN
D33		Gutartige Neubildung des Gehirns und anderer Teile des Zentralnervensystems	Benign neoplasm of brain and other parts of central nervous system	NS
D35.2		Gutartige Neubildung: Hypophyse	Benign neoplasm: Pituitary gland	PIGA
D43		Neubildung unsicheren oder unbekannten Verhaltens des Gehirns und des Zentralnervensystems	Neoplasm of uncertain or unknown behaviour of brain and central nervous system	B
