#identifier	title	gene symbol	gene chr	gene start	gene end	highlight start	highlight end
PLAGL1_alt-TSS-DMR	PLAGL1:alt-TSS-DMR	PLAGL1	chr6	143940299	144064599	144006941	144008751
GRB10_alt-TSS-DMR	GRB10:alt-TSS-DMR	GRB10	chr7	50590062	50793462	50781029	50783615
PEG10_TSS-DMR	PEG10:TSS-DMR	PEG10	chr7	94656225	94669695	94656225	94658648
MEST_alt-TSS-DMR	MEST:alt-TSS-DMR	MEST	chr7	130486170	130506465	130490281	130494547
H19_IGF2_IG-DMR	H19/IGF2:IG-DMR	H19	chr11	1995175	2004552	1997582	2003510
KCNQ1OT1_TSS-DMR	KCNQ1OT1:TSS-DMR	KCNQ1OT1	chr11	2597307	2706029	2698718	2701029
MEG3_DLK1_IG-DMR	MEG3/DLK1:IG-DMR	MEG3	chr14	100779409	100861029	100809090	100811721
MEG3_TSS-DMR	MEG3:TSS-DMR	MEG3	chr14	100779409	100861029	100824187	100827641
MEG8_Int2-DMR	MEG8:Int2-DMR	MEG8	chr14	100894963	101038859	100904404	100905082
SNURF_TSS-DMR	SNURF:TSS-DMR	SNURF	chr15	24954857	24968829	24954857	24956829
GNAS-NESP_TSS-DMR	GNAS-NESP:TSS-DMR	GNAS	chr20	58818918	58911192	58838984	58843557
GNAS-AS1_TSS-DMR	GNAS-AS1:TSS-DMR	GNAS-AS1	chr20	58818918	58911192	58850594	58852978
GNAS-XL_Ex1-DMR	GNAS-XL:Ex1-DMR	GNAS	chr20	58818918	58911192	58853850	58856408
GNAS_A_B_TSS-DMR	GNAS A/B:TSS-DMR	GNAS	chr20	58818918	58911192	58888210	58890146
DUX4	DUX4	DUX4	chr4	190163774	190185839	190173774	190175839
PHF6	PHF6	PHF6	chrX	134372188	134428792	134372188	134374713
RP2	RP2	RP2	chrX	46836539	46889240	46836539	46837273
AR	AR	AR	chrX	67543352	67730619	67543761	67546170
